Starting job on bp1-gpu001
CUDA visible devices: 0
CUDA available: True
Epoch 0 | Train Acc: 10.10% | Test Acc: 10.17%
Epoch 11 | Loss: 1.3846 | Train Acc: 52.66% | Test Acc: 46.73%
Epoch 12 | Loss: 1.3570 | Train Acc: 53.86% | Test Acc: 46.91%
Epoch 13 | Loss: 1.3294 | Train Acc: 55.03% | Test Acc: 47.67%
Epoch 14 | Loss: 1.3039 | Train Acc: 55.69% | Test Acc: 47.37%
Epoch 15 | Loss: 1.2773 | Train Acc: 56.74% | Test Acc: 47.82%
Epoch 16 | Loss: 1.2617 | Train Acc: 57.08% | Test Acc: 47.85%
Epoch 17 | Loss: 1.2372 | Train Acc: 58.13% | Test Acc: 47.94%
Epoch 18 | Loss: 1.2371 | Train Acc: 57.86% | Test Acc: 47.53%
Epoch 19 | Loss: 1.2018 | Train Acc: 59.24% | Test Acc: 47.76%
Epoch 20 | Loss: 1.1806 | Train Acc: 59.99% | Test Acc: 47.19%
Epoch 21 | Loss: 1.1729 | Train Acc: 60.73% | Test Acc: 46.66%
Epoch 22 | Loss: 1.1521 | Train Acc: 61.30% | Test Acc: 46.92%
Epoch 23 | Loss: 1.1662 | Train Acc: 60.33% | Test Acc: 45.60%
Epoch 24 | Loss: 1.1010 | Train Acc: 63.06% | Test Acc: 46.96%
Epoch 25 | Loss: 1.0934 | Train Acc: 63.21% | Test Acc: 46.68%
Epoch 26 | Loss: 1.0562 | Train Acc: 64.73% | Test Acc: 46.42%
Epoch 27 | Loss: 1.0682 | Train Acc: 64.04% | Test Acc: 46.57%
Epoch 28 | Loss: 1.0558 | Train Acc: 64.43% | Test Acc: 46.34%
Epoch 29 | Loss: 1.0407 | Train Acc: 65.02% | Test Acc: 46.03%
Epoch 30 | Loss: 1.0079 | Train Acc: 66.23% | Test Acc: 45.85%
[MLP CIFAR-10] Training time: 85.73 seconds

Epoch 0 | Train Acc: 8.50% | Test Acc: 8.33%
Epoch 1 | Loss: 1.4342 | Train Acc: 59.92% | Test Acc: 58.69%
Epoch 2 | Loss: 1.0947 | Train Acc: 66.01% | Test Acc: 63.97%
Epoch 3 | Loss: 0.9851 | Train Acc: 67.93% | Test Acc: 65.30%
Epoch 4 | Loss: 0.9184 | Train Acc: 71.27% | Test Acc: 67.79%
Epoch 5 | Loss: 0.8655 | Train Acc: 71.85% | Test Acc: 67.92%
Epoch 6 | Loss: 0.8335 | Train Acc: 72.80% | Test Acc: 68.48%
Epoch 7 | Loss: 0.8013 | Train Acc: 74.96% | Test Acc: 70.17%
Epoch 8 | Loss: 0.7739 | Train Acc: 75.64% | Test Acc: 69.67%
Epoch 9 | Loss: 0.7500 | Train Acc: 76.07% | Test Acc: 70.28%
Epoch 10 | Loss: 0.7345 | Train Acc: 76.87% | Test Acc: 70.63%
Epoch 11 | Loss: 0.7095 | Train Acc: 76.21% | Test Acc: 69.67%
Epoch 12 | Loss: 0.6978 | Train Acc: 78.06% | Test Acc: 70.98%
Epoch 13 | Loss: 0.6815 | Train Acc: 78.42% | Test Acc: 71.07%
Epoch 14 | Loss: 0.6691 | Train Acc: 78.41% | Test Acc: 70.66%
Epoch 15 | Loss: 0.6578 | Train Acc: 78.99% | Test Acc: 70.98%
Epoch 16 | Loss: 0.6467 | Train Acc: 79.55% | Test Acc: 70.97%
Epoch 17 | Loss: 0.6339 | Train Acc: 80.33% | Test Acc: 71.61%
Epoch 18 | Loss: 0.6234 | Train Acc: 80.02% | Test Acc: 71.45%
Epoch 19 | Loss: 0.6236 | Train Acc: 80.99% | Test Acc: 71.62%
Epoch 20 | Loss: 0.6121 | Train Acc: 81.02% | Test Acc: 71.09%
Epoch 21 | Loss: 0.6031 | Train Acc: 80.88% | Test Acc: 70.82%
Epoch 22 | Loss: 0.5961 | Train Acc: 81.35% | Test Acc: 70.94%
Epoch 23 | Loss: 0.5871 | Train Acc: 80.96% | Test Acc: 70.89%
Epoch 24 | Loss: 0.5820 | Train Acc: 81.93% | Test Acc: 70.66%
Epoch 25 | Loss: 0.5731 | Train Acc: 82.15% | Test Acc: 70.99%
Epoch 26 | Loss: 0.5718 | Train Acc: 82.79% | Test Acc: 71.50%
Epoch 27 | Loss: 0.5648 | Train Acc: 82.14% | Test Acc: 71.10%
Epoch 28 | Loss: 0.5609 | Train Acc: 82.49% | Test Acc: 70.95%
Epoch 29 | Loss: 0.5579 | Train Acc: 82.37% | Test Acc: 70.88%
Epoch 30 | Loss: 0.5521 | Train Acc: 81.91% | Test Acc: 70.13%
[CNN CIFAR-10] Training time: 39.04 seconds

